,cum_power,Elec_kW,Gas_mxm
10/26/2011,0.1,15.1,9
10/27/2011,10.2,7.4,9.2
10/28/2011,20.2,5.8,8
10/29/2011,29.6,4.9,6.6
10/30/2011,34.2,11.7,5.3
10/31/2011,38,11,5.7
11/1/2011,46.6,3.5,5.3
11/2/2011,51.6,10.5,5.4
11/3/2011,58.6,6.9,7.6
11/4/2011,60.5,10.3,5.5
11/5/2011,65.7,12,5.2
11/6/2011,71.8,11.9,4.8
11/7/2011,73.3,16.7,5.3
11/8/2011,73.8,11.1,7.3
11/9/2011,76.1,13,8.3
11/10/2011,82.5,7.6,7.2
11/11/2011,89.1,8.9,10.5
11/12/2011,95.5,12.9,10.2
11/13/2011,99.9,10.7,10.7
11/14/2011,101.4,10.2,9.9
11/15/2011,109.1,7.2,11.4
11/16/2011,116,9.4,13.6
11/17/2011,122.3,10.1,16.1
11/18/2011,124.3,14.6,12.8
11/19/2011,130.5,8.4,10.3
11/20/2011,136.5,12.2,12.6
11/21/2011,142.5,17.7,12.8
11/22/2011,145,11.5,13.4
11/23/2011,148.3,13.5,11.9
11/24/2011,149.8,13,9.7
11/25/2011,151.7,17.8,12.6
11/26/2011,152.4,16.9,11.3
11/27/2011,156.1,12.6,12.6
11/28/2011,157.4,14.5,12.5
11/29/2011,163.9,9.1,10.7
11/30/2011,165.3,17,13.4
12/1/2011,170.7,9.9,11
12/2/2011,172.1,16.9,10.6
12/3/2011,174.7,14.1,14.4
12/4/2011,175.3,18.7,12.7
12/5/2011,176.3,15.6,10.7
12/6/2011,178.8,8.5,15
12/7/2011,180.5,16,15.7
12/8/2011,182,13.9,15.4
12/9/2011,183.6,15.6,15.4
12/10/2011,188.4,11.5,15.2
12/11/2011,192.6,14.4,15.4
12/12/2011,195,12,15.5
12/13/2011,197.8,13.7,14.2
12/14/2011,199.1,15.2,13.7
12/15/2011,200.1,19.5,16.2
12/16/2011,201.6,14.1,15.8
12/17/2011,201.8,17,17.3
12/18/2011,205.4,17,17.8
12/19/2011,209.7,16.6,16
12/20/2011,211.6,15.5,20.1
12/21/2011,214.4,12.4,14.4
12/22/2011,215.3,17.5,14.2
